,subject1,verb1,object1,subject2,verb2,object2,score,range,BERT_subject_sim,BERT_verb_sim,BERT_obj_sim,W2V_subject_sim,W2V_verb_sim,W2V_obj_sim
45,member,attend,conference,case,require,attention,1.2916666666666667,0.5500329370901874,0.7191545367240906,0.7550709247589111,0.7228713631629944,0.8034399747848511,0.9394775629043579,0.7487848997116089
46,member,attend,conference,group,hold,meeting,4.625,1.3452816094393218,0.7859939932823181,0.7298431992530823,0.8023702502250671,0.8897659182548523,0.9033149480819702,0.9400762915611267
47,member,attend,conference,people,share,interest,2.9545454545454546,1.703701089568649,0.758567214012146,0.7096439599990845,0.709293782711029,0.5027646422386169,0.9229066967964172,0.7453382015228271
48,member,express,view,company,suffer,loss,1.08,0.2768874620972691,0.7367421388626099,0.6964128017425537,0.6861480474472046,0.9144927859306335,0.8639933466911316,0.9069843292236328
49,member,express,view,pupil,achieve,end,1.76,1.0908712114635715,0.7304608821868896,0.7326521873474121,0.7183910608291626,0.8849873542785645,0.9513424038887024,0.8788309693336487
50,mother,leave,house,family,buy,home,1.5454545454545454,0.8004327833694972,0.810774028301239,0.7152869701385498,0.8164402842521667,0.7563943266868591,0.9267742037773132,0.8778108358383179
51,mother,leave,house,school,encourage,child,1.04,0.2,0.772099494934082,0.75304114818573,0.7546883225440979,0.6579605340957642,0.7848396897315979,0.8346114158630371
52,page,provide,datum,student,reach,level,1.28,0.6782329983125268,0.7178739309310913,0.7580270171165466,0.577285885810852,0.762561023235321,0.938422441482544,0.6296419501304626
53,panel,discuss,issue,project,present,problem,3.739130434782609,1.5729934203280245,0.7360160946846008,0.7332064509391785,0.8241850733757019,0.9276195764541626,0.7640870809555054,0.902219831943512
54,paper,address,question,project,present,problem,4.363636363636363,1.328997278489977,0.7591729164123535,0.7115108966827393,0.7891843914985657,0.973136842250824,0.8210635185241699,0.9088805913925171
55,paper,address,question,study,pose,problem,3.64,1.1135528725660044,0.7480159401893616,0.672259509563446,0.7891843914985657,0.9198262691497803,0.9188629984855652,0.9088805913925171
56,parent,set,example,company,provide,system,1.875,1.3290238326779873,0.6912076473236084,0.7289684414863586,0.7319305539131165,0.8832946419715881,0.7373719215393066,0.7203010320663452
57,patient,need,treatment,programme,offer,support,2.0869565217391304,1.3112465782349276,0.7232538461685181,0.7510042190551758,0.7494487166404724,0.0,0.7167994976043701,0.897038996219635
58,patient,need,treatment,system,use,method,1.24,0.5228129047119373,0.7257493138313293,0.7959651947021484,0.7418367862701416,0.8231371641159058,0.8468368649482727,0.9117311835289001
59,people,play,game,worker,join,party,2.5,1.3954814298487213,0.7746239304542542,0.7447029948234558,0.7651767730712891,0.5629555583000183,0.8369755744934082,0.9320815205574036
60,people,remember,name,physician,pass,time,1.0,0.0,0.758638858795166,0.701850414276123,0.7434731125831604,0.5536094307899475,0.7549608945846558,0.6279353499412537
61,people,share,interest,authority,exercise,influence,1.32,0.7483314773547883,0.7441884875297546,0.6569134593009949,0.7428379654884338,0.5671026110649109,0.9796183705329895,0.9219458103179932
62,people,share,interest,member,express,view,3.625,1.7398775569112552,0.758567214012146,0.6874669194221497,0.7137241363525391,0.5027646422386169,0.917138397693634,0.9071324467658997
63,physician,pass,time,road,cross,line,1.04,0.2,0.7422927618026733,0.7247952222824097,0.7558737397193909,0.9105757474899292,0.8778195977210999,0.6530064940452576
64,plan,increase,number,design,reduce,amount,1.4545454545454546,0.7385489458759963,0.7822881937026978,0.8548091053962708,0.8168277144432068,0.8876309990882874,0.8737568855285645,0.8840476870536804
65,product,satisfy,demand,commodity,meet,requirement,5.28,1.3076696830622019,0.7481024861335754,0.770244300365448,0.7666540741920471,0.8235781788825989,0.9300631284713745,0.9230906963348389
66,product,satisfy,demand,study,emphasise,need,1.52,1.004987562112089,0.7164705395698547,0.6379542350769043,0.7857180237770081,0.9095093607902527,0.0,0.7536616921424866
67,programme,face,difficulty,parent,set,example,1.08,0.27688746209726917,0.6785027384757996,0.7239480018615723,0.6961925625801086,0.0,0.8601906895637512,0.8342257142066956
68,programme,offer,support,road,cross,line,1.0,0.0,0.7489327192306519,0.6959210634231567,0.7398311495780945,0.0,0.8512279987335205,0.8811293244361877
69,programme,offer,support,service,provide,help,5.64,1.0754843869934452,0.7421234846115112,0.8316702246665955,0.8158556222915649,0.0,0.9366931915283203,0.9015673995018005
70,project,present,problem,programme,face,difficulty,4.8,1.5275252316519468,0.8151907324790955,0.7220045924186707,0.7990140914916992,0.0,0.7173978090286255,0.8612796664237976
71,pupil,achieve,end,gentleman,close,eye,1.28,0.8906926143924926,0.6932276487350464,0.7136021852493286,0.7237372398376465,0.9359793663024902,0.7971304059028625,0.8368866443634033
72,pupil,achieve,end,student,reach,level,6.086956521739131,0.7927537436201203,0.8286734819412231,0.8036637902259827,0.7230232357978821,0.8677527904510498,0.9132179021835327,0.8950936198234558
73,pupil,use,knowledge,authority,exercise,influence,1.92,1.411854572303158,0.6812790036201477,0.7422251105308533,0.7420411109924316,0.9270962476730347,0.8154104351997375,0.9343163967132568
74,pupil,use,knowledge,company,provide,system,1.32,0.5567764362830022,0.6881490349769592,0.7741273045539856,0.7403388619422913,0.8469173908233643,0.8987082839012146,0.941395103931427
75,pupil,use,knowledge,student,acquire,skill,4.84,1.106044001535804,0.8286734819412231,0.75557541847229,0.775268018245697,0.8677527904510498,0.7844011783599854,0.9149642586708069
76,question,raise,head,paper,address,question,2.6666666666666665,1.4345630047135447,0.702234148979187,0.7011680006980896,0.7125232219696045,0.6825859546661377,0.830722987651825,0.48188650608062744
77,report,stress,importance,company,cut,cost,1.375,0.7109393663377318,0.7404042482376099,0.6856975555419922,0.7155151963233948,0.9385623335838318,0.7813339233398438,0.936739981174469
78,report,stress,importance,firm,cause,injury,1.08,0.27688746209726917,0.7043537497520447,0.6723305583000183,0.703942596912384,0.8824004530906677,0.9005531668663025,0.8416367769241333
79,report,stress,importance,study,emphasise,need,5.16,1.9295940851208406,0.7809415459632874,0.7138140797615051,0.7689736485481262,0.9350107908248901,0.0,0.7238684296607971
80,researcher,develop,technique,government,use,power,1.4,0.6454972243679027,0.7525262236595154,0.7714793682098389,0.7485846281051636,0.5144738554954529,0.804105281829834,0.8796128034591675
81,researcher,develop,technique,system,use,method,3.28,1.4,0.7484049201011658,0.7714793682098389,0.8610761165618896,0.5134474039077759,0.804105281829834,0.9499890208244324
82,road,cross,line,route,follow,road,3.3181818181818183,1.2492421945347751,0.8278019428253174,0.7202343344688416,0.7621301412582397,0.9111420512199402,0.8215636014938354,0.9528231024742126
83,route,follow,road,parent,set,example,1.9130434782608696,1.4744195615489715,0.689106822013855,0.715781569480896,0.7076253294944763,0.8303411602973938,0.7840914726257324,0.6100488305091858
84,school,encourage,child,employee,leave,company,1.04,0.2,0.7524111866950989,0.75304114818573,0.7370907664299011,0.7878780364990234,0.7848396897315979,0.8840721845626831
85,service,provide,help,product,satisfy,demand,3.1666666666666665,1.7110044511584586,0.7326434850692749,0.7556505799293518,0.7068531513214111,0.9515389204025269,0.9212546944618225,0.801862359046936
86,service,provide,help,researcher,develop,technique,2.0869565217391304,1.3454652280315151,0.730465292930603,0.7897289395332336,0.7300712466239929,0.5405888557434082,0.9342613220214844,0.7392784953117371
87,student,acquire,skill,doctor,use,test,1.2083333333333333,0.5089773777040515,0.7319389581680298,0.75557541847229,0.7241999506950378,0.8884946703910828,0.7844011783599854,0.9498890042304993
88,student,acquire,skill,family,buy,home,1.32,0.8999999999999998,0.7474398612976074,0.8117236495018005,0.708024799823761,0.9507412314414978,0.9053588509559631,0.7028351426124573
89,study,pose,problem,programme,face,difficulty,3.9583333333333335,1.899179838238342,0.7657796740531921,0.7089654207229614,0.7990140914916992,0.0,0.7542927861213684,0.8612796664237976
90,superpower,fight,war,force,win,battle,4.318181818181818,1.3587937099944003,0.6336479783058167,0.77440345287323,0.8140600323677063,0.0,0.9492381811141968,0.8526080250740051
91,superpower,fight,war,plan,increase,number,1.04,0.19999999999999998,0.6210526823997498,0.7544072270393372,0.7192491888999939,0.0,0.899224579334259,0.7523227334022522
92,superpower,fight,war,team,win,match,2.2083333333333335,1.4738050920238275,0.6236873865127563,0.77440345287323,0.7404538989067078,0.0,0.9492381811141968,0.8433844447135925
93,survey,collect,information,page,provide,datum,3.260869565217391,1.5729934203280245,0.7058641314506531,0.7524046897888184,0.5830601453781128,0.7989466786384583,0.8676869869232178,0.5514480471611023
94,team,win,match,design,reduce,amount,1.0,0.0,0.7575055956840515,0.755591094493866,0.7274594902992249,0.8894524574279785,0.8997963070869446,0.9083827137947083
95,team,win,match,people,play,game,4.041666666666667,0.9990937922923461,0.7888973355293274,0.7504828572273254,0.8234128952026367,0.6331885457038879,0.8831079006195068,0.9548133611679077
96,user,send,message,family,receive,letter,3.2083333333333335,1.587427962533067,0.7202617526054382,0.7722755670547485,0.792244553565979,0.7331834435462952,0.9029935598373413,0.8958413004875183
97,user,send,message,man,hear,word,2.84,1.5187714333192688,0.7515687346458435,0.7294408679008484,0.7548131942749023,0.6635773777961731,0.9028300642967224,0.8781055808067322
98,wife,pour,tea,study,emphasise,need,1.0,0.0,0.7355623245239258,0.6318567395210266,0.6855358481407166,0.7057414650917053,0.0,0.5506607890129089
99,wife,pour,tea,woman,drink,water,2.6956521739130435,0.9739695071153479,0.8274105787277222,0.7470547556877136,0.7444251179695129,0.8720822930335999,0.799669623374939,0.8000328540802002
100,wife,pour,tea,worker,join,party,1.0833333333333333,0.28232985128664,0.7477713227272034,0.7210617065429688,0.7147049307823181,0.7797277569770813,0.9137932062149048,0.8489391803741455
101,woman,ask,man,father,stretch,arm,1.04,0.19999999999999998,0.7819520235061646,0.6960172653198242,0.7504262924194336,0.8356454372406006,0.6337287425994873,0.5273517370223999
102,woman,ask,man,user,send,message,2.217391304347826,1.0852951730511942,0.7434225678443909,0.7557008266448975,0.7403802871704102,0.7135064601898193,0.8727523684501648,0.6868209838867188
103,woman,drink,water,doctor,use,test,1.125,0.4484272031464406,0.7704980373382568,0.7416518330574036,0.7138935327529907,0.8582132458686829,0.7402985095977783,0.8894631266593933
104,woman,drink,water,system,use,method,1.0833333333333333,0.40824829046386296,0.7529877424240112,0.7416518330574036,0.7106870412826538,0.7586486339569092,0.7402985095977783,0.7631308436393738
105,worker,join,party,employee,leave,company,1.4,0.5773502691896257,0.8318338394165039,0.7673308849334717,0.7795993089675903,0.9567248225212097,0.8730155825614929,0.940227210521698
106,writer,read,word,family,receive,letter,2.090909090909091,1.3419634126405238,0.7525426745414734,0.7385324239730835,0.7451996207237244,0.8307697772979736,0.8387904763221741,0.7957921028137207
107,writer,read,word,people,remember,name,1.44,0.7681145747868608,0.7856305241584778,0.7248433232307434,0.7767552733421326,0.5769451260566711,0.8601641654968262,0.8874725699424744
